city_ascii;province_id;province_name;lat;lng;population;density
Saint-Zenon;QC;Quebec;46.55;-73.8167;1250;2.7
Saint-Armand;QC;Quebec;45.0333;-73.05;1248;15.1
Saint-Edouard-de-Lotbiniere;QC;Quebec;46.5667;-71.8333;1248;12.7
Alonsa;MB;Manitoba;50.9794;-99.0796;1247;0.4
Listuguj;QC;Quebec;48.0609;-66.7491;1241;28
Bowden;AB;Alberta;51.9306;-114.0256;1240;442.8
St. Joseph;ON;Ontario;46.2667;-84;1240;9.3
Osler;SK;Saskatchewan;52.37;-106.54;1237;796.5
Saint-Hubert-de-Riviere-du-Loup;QC;Quebec;47.8167;-69.15;1235;6.4
Saint-Jude;QC;Quebec;45.7667;-72.9833;1235;16
Dildo;NL;Newfoundland and Labrador;47.5685;-53.5471;1234;152
La Minerve;QC;Quebec;46.25;-74.9333;1234;4.4
Lanigan;SK;Saskatchewan;51.85;-105.0333;1233;165.2
Lajord No. 128;SK;Saskatchewan;50.1965;-104.2507;1232;1.3
Moonbeam;ON;Ontario;49.35;-82.15;1231;5.2
Notre-Dame-des-Pins;QC;Quebec;46.1833;-70.7167;1227;51.2
Saint-Alban;QC;Quebec;46.7167;-72.0833;1225;8.2
Saint-Pierre-les-Becquets;QC;Quebec;46.5;-72.2;1223;25.6
Arborg;MB;Manitoba;50.9075;-97.2182;1222;611
Vauxhall;AB;Alberta;50.0689;-112.0975;1222;449.4
Bayfield;ON;Ontario;43.5615;-81.6983;1218;439.9
Beaver River;SK;Saskatchewan;54.3531;-109.5575;1216;0.5
Irricana;AB;Alberta;51.3189;-113.6106;1216;376.1
Labrecque;QC;Quebec;48.6667;-71.5333;1215;7.9
New Bandon;NB;New Brunswick;47.6912;-65.29;1214;3.4
Wemotaci;QC;Quebec;47.9219;-73.7872;1213;38.5
Sainte-Henedine;QC;Quebec;46.55;-70.9833;1212;23.6
L'Anse-Saint-Jean;QC;Quebec;48.2333;-70.2;1208;2.4
Bassano;AB;Alberta;50.7833;-112.4667;1206;231.2
Parrsboro;NS;Nova Scotia;45.3998;-64.3312;1205;81.4
Kaleden;BC;British Columbia;49.3926;-119.5955;1203;278.7
St. George's;NL;Newfoundland and Labrador;48.4275;-58.4778;1203;46.6
Fort Simpson;NT;Northwest Territories;61.8082;-121.3199;1202;15.3
Akwesasne;QC;Quebec;45.0155;-74.5769;1202;48.4
L'Avenir;QC;Quebec;45.7667;-72.3;1202;12.4
Ignace;ON;Ontario;49.4167;-91.6667;1202;16.5
Claremont;ON;Ontario;43.9741;-79.1316;1202;567.5
Teulon;MB;Manitoba;50.3858;-97.2611;1201;372.3
Peel;NB;New Brunswick;46.4058;-67.5278;1196;10.6
Musquash;NB;New Brunswick;45.1836;-66.3514;1194;5.1
Notre-Dame-du-Portage;QC;Quebec;47.7667;-69.6167;1193;29.9
St. Lawrence;NL;Newfoundland and Labrador;46.9244;-55.3928;1192;33.6
Oxford;NS;Nova Scotia;45.7306;-63.8733;1190;110.6
Minto-Odanah;MB;Manitoba;50.2406;-99.8056;1189;1.6
St. Alban's;NL;Newfoundland and Labrador;47.8753;-55.8414;1186;56.9
Saint James;NB;New Brunswick;45.3822;-67.3427;1186;2.1
Saint-Norbert-d'Arthabaska;QC;Quebec;46.1;-71.8167;1185;11.4
Manning;AB;Alberta;56.9142;-117.6272;1183;291.9
Glenella-Lansdowne;MB;Manitoba;50.4163;-99.2097;1181;0.9
Saint-Hilarion;QC;Quebec;47.5667;-70.4;1181;11.9
Saint-Simeon;QC;Quebec;48.0667;-65.5667;1179;20.9
Saint-Barnabe;QC;Quebec;46.4;-72.8833;1179;20
Sainte-Felicite;QC;Quebec;48.9;-67.3333;1175;12.9
Two Borders;MB;Manitoba;49.2668;-101.1124;1175;0.5
Queensbury;NB;New Brunswick;45.9918;-67.0632;1174;3.9
Bury;QC;Quebec;45.4667;-71.5;1174;4.9
Lac-Bouchette;QC;Quebec;48.25;-72.18;1174;1.3
Saint-Lazare-de-Bellechasse;QC;Quebec;46.65;-70.8;1172;13.6
Saint-Michel-du-Squatec;QC;Quebec;47.88;-68.72;1171;3.2
Saint-Joachim-de-Shefford;QC;Quebec;45.45;-72.5333;1171;9.2
St-Pierre-Jolys;MB;Manitoba;49.4403;-96.9844;1170;440.5
Grand-Remous;QC;Quebec;46.6167;-75.9;1168;3.3
Saint-Gabriel-de-Rimouski;QC;Quebec;48.4209;-68.1791;1167;9.2
Armstrong;ON;Ontario;47.7083;-79.825;1166;12.9
Rogersville;NB;New Brunswick;46.7167;-65.4167;1166;161.9
Langenburg;SK;Saskatchewan;50.8333;-101.7;1165;337.1
Sainte-Marie-Salome;QC;Quebec;45.9333;-73.5;1164;34.5
Moose Jaw No. 161;SK;Saskatchewan;50.4433;-105.5091;1163;1.5
Saint-Cyprien;QC;Quebec;47.9;-69.0167;1163;8.4
Maidstone;SK;Saskatchewan;53.092;-109.294;1156;233.5
Tres-Saint-Sacrement;QC;Quebec;45.1833;-73.85;1155;11.7
Battle River No. 438;SK;Saskatchewan;52.7343;-108.4452;1154;1.1
Miltonvale Park;PE;Prince Edward Island;46.318;-63.237;1153;32.4
McAdam;NB;New Brunswick;45.5944;-67.3258;1151;80.6
Saints-Anges;QC;Quebec;46.4167;-70.8833;1149;16.6
Saint-Urbain-Premier;QC;Quebec;45.22;-73.73;1148;21.6
Centreville-Wareham-Trinity;NL;Newfoundland and Labrador;48.9879;-53.9069;1147;30.8
Alberton;PE;Prince Edward Island;46.8167;-64.0667;1145;253.5
Winnipeg Beach;MB;Manitoba;50.5058;-96.9742;1145;295.9
Sainte-Agathe-de-Lotbiniere;QC;Quebec;46.3833;-71.4167;1145;6.9
Salmo;BC;British Columbia;49.1942;-117.2778;1141;466.2
Kipling;SK;Saskatchewan;50.1015;-102.6324;1140;396.5
Sagamok;ON;Ontario;46.1529;-82.2072;1140;11.6
Trecesson;QC;Quebec;48.65;-78.3167;1138;5.8
Tara;ON;Ontario;44.4793;-81.1445;1138;470.3
Grande-Vallee;QC;Quebec;49.2167;-65.1333;1137;7.9
Bertrand;NB;New Brunswick;47.7622;-65.0686;1137;24.5
Newcastle;NB;New Brunswick;47.1725;-65.5551;1136;2
Mont-Carmel;QC;Quebec;47.4397;-69.8586;1136;2.7
Saint Martins;NB;New Brunswick;45.4563;-65.4395;1132;1.8
Saint-Eugene;QC;Quebec;45.8;-72.7;1131;14.9
